Country,YPOTg_2018,YPOTg_2019,YPOTg_2020,YPOTg_2021,YGAP_2018,YGAP_2019,YGAP_2020,YGAP_2021
at,1.3,1.3,1.0,1.2,1.5,1.7,-4.8,-1.3
be,1.4,1.5,0.8,1.3,1.0,0.9,-7.1,-2.2
bg,2.4,2.2,0.9,1.5,2.2,3.4,-4.9,-0.6
cy,2.0,1.9,1.6,1.7,4.6,5.9,-3.5,0.7
cz,2.5,2.6,1.0,2.2,2.1,2.0,-5.2,-2.6
de,1.4,1.2,0.9,1.2,1.7,1.0,-6.4,-2.0
dk,2.1,2.3,1.9,2.2,-0.0,0.0,-7.6,-5.0
ee,3.5,3.9,2.4,3.2,3.9,4.3,-5.2,-2.7
el,-0.6,-0.4,-0.8,-0.2,-6.5,-4.4,-13.0,-6.0
es,1.3,1.7,-0.0,1.7,2.1,2.3,-7.3,-2.4
fi,1.3,1.2,-0.1,1.2,1.1,0.9,-5.4,-3.1
fr,1.0,1.1,0.8,1.2,1.0,1.1,-7.9,-2.3
hr,1.8,1.8,0.3,1.7,2.5,3.7,-6.1,-0.7
hu,3.7,3.9,2.1,2.6,3.1,4.1,-5.2,-2.1
ie,8.7,5.6,2.0,2.5,2.1,2.1,-7.8,-4.6
it,0.3,0.6,-0.6,0.7,0.0,-0.3,-9.2,-3.9
lt,2.8,3.8,2.9,3.5,4.4,4.6,-6.4,-2.9
lu,1.8,2.1,1.5,2.1,2.0,2.2,-4.8,-1.3
lv,2.7,2.7,2.1,2.2,4.0,3.5,-5.7,-1.8
mt,6.0,4.5,3.1,3.1,3.9,3.8,-5.2,-2.5
nl,1.6,1.8,1.0,1.4,1.5,1.5,-6.4,-3.1
pl,3.2,3.5,2.1,3.4,3.4,4.0,-2.5,-1.8
pt,1.8,1.8,0.9,1.8,2.1,2.4,-5.4,-1.7
ro,4.7,4.6,2.7,2.6,1.0,0.5,-8.0,-6.6
se,2.0,1.8,1.0,1.4,1.4,0.8,-6.3,-3.7
si,2.4,2.4,1.6,2.6,3.0,3.0,-5.7,-1.9
sk,2.2,2.3,0.8,1.9,2.7,2.7,-5.0,-0.6
uk,1.3,1.4,0.6,1.2,1.0,1.1,-7.9,-3.5
us,2.0,1.7,1.3,1.3,1.9,2.6,-5.3,-1.9
